campaign_id,company,campaign_type,target_audience,duration,channel_used,location,language,customer_segment,date,year,month,weekday,spend,impressions,clicks,conversions,ctr,cvr,cpc,cpm,roas,roi,cpa,revenue,engagement_score
136876,TechCorp,Social Media,Women 35-44,60 days,Facebook,Los Angeles,German,Outdoor Adventurers,2021-01-01,2021,1,Friday,12381.0,8775,271,16,0.0308831908831908,0.059040590405904,45.68634686346864,1410.940170940171,6.09,5.09,773.8125,75400.29,1
13871,DataTech Solutions,Social Media,All Ages,45 days,Facebook,Chicago,French,Tech Enthusiasts,2021-01-01,2021,1,Friday,18229.0,1177,174,21,0.1478334749362786,0.1206896551724138,104.76436781609196,15487.68054375531,8.67,7.67,868.047619047619,158045.43,8
26646,Alpha Innovations,Influencer,Men 25-34,15 days,Website,Houston,French,Fashionistas,2021-01-01,2021,1,Friday,17083.0,9201,640,51,0.0695576567764373,0.0796875,26.6921875,1856.6460167373111,3.28,2.28,334.96078431372547,56032.24,2
133591,NexGen Systems,Email,Women 35-44,45 days,Google Ads,Los Angeles,French,Foodies,2021-01-01,2021,1,Friday,10907.0,6472,646,71,0.099814585908529,0.109907120743034,16.88390092879257,1685.2595797280594,7.759999999999999,6.76,153.61971830985917,84638.31999999999,6
102931,DataTech Solutions,Influencer,Men 25-34,15 days,Instagram,Los Angeles,Mandarin,Fashionistas,2021-01-01,2021,1,Friday,11888.0,1792,307,40,0.1713169642857142,0.1302931596091205,38.72312703583062,6633.928571428572,3.08,2.08,297.2,36615.04,1
76651,Innovate Industries,Influencer,Men 18-24,30 days,YouTube,New York,English,Fashionistas,2021-01-01,2021,1,Friday,19717.0,5658,870,104,0.1537645811240721,0.1195402298850574,22.6632183908046,3484.8002827854366,8.43,7.43,189.58653846153845,166214.31,6
13506,Alpha Innovations,Social Media,Women 35-44,15 days,Instagram,Houston,French,Outdoor Adventurers,2021-01-01,2021,1,Friday,12634.0,7510,926,74,0.1233022636484687,0.079913606911447,13.643628509719225,1682.2902796271635,7.89,6.89,170.72972972972974,99682.26,7
63146,NexGen Systems,Influencer,Men 18-24,45 days,Email,Houston,Mandarin,Foodies,2021-01-01,2021,1,Friday,17587.0,8503,819,98,0.0963189462542632,0.1196581196581196,21.473748473748472,2068.328825120546,7.589999999999999,6.59,179.4591836734694,133485.33,9
60591,Innovate Industries,Social Media,Women 25-34,60 days,Website,New York,French,Outdoor Adventurers,2021-01-01,2021,1,Friday,6390.0,8181,300,30,0.0366703337000366,0.1,21.3,781.0781078107811,8.719999999999999,7.72,213.0,55720.8,9
111326,TechCorp,Influencer,Women 35-44,60 days,YouTube,New York,Spanish,Foodies,2021-01-01,2021,1,Friday,5553.0,5847,214,30,0.0365999657944244,0.1401869158878504,25.94859813084112,949.7178040020524,3.01,2.01,185.1,16714.53,2
135416,Alpha Innovations,Influencer,Men 25-34,15 days,Instagram,New York,Spanish,Health & Wellness,2021-01-01,2021,1,Friday,15641.0,5234,956,38,0.1826518914787925,0.0397489539748954,16.360878661087867,2988.3454337027133,3.3,2.3,411.60526315789474,51615.3,4
41611,TechCorp,Display,Women 25-34,60 days,Google Ads,Miami,German,Tech Enthusiasts,2021-01-01,2021,1,Friday,5925.0,1050,884,97,0.8419047619047619,0.1097285067873303,6.702488687782806,5642.857142857143,5.39,4.39,61.08247422680412,31935.749999999996,3
156221,Alpha Innovations,Social Media,Men 25-34,15 days,Website,New York,English,Fashionistas,2021-01-01,2021,1,Friday,14785.0,7730,710,85,0.0918499353169469,0.1197183098591549,20.823943661971832,1912.6778783958605,3.23,2.23,173.94117647058823,47755.55,5
4381,TechCorp,Social Media,Women 25-34,15 days,YouTube,Miami,Spanish,Tech Enthusiasts,2021-01-01,2021,1,Friday,9897.0,2845,416,21,0.1462214411247803,0.0504807692307692,23.790865384615383,3478.734622144113,4.07,3.07,471.2857142857143,40280.79,6
176296,Innovate Industries,Social Media,Women 35-44,60 days,Facebook,Houston,Mandarin,Tech Enthusiasts,2021-01-01,2021,1,Friday,10128.0,6185,181,7,0.0292643492320129,0.0386740331491712,55.95580110497237,1637.5101050929668,5.87,4.87,1446.857142857143,59451.36,8
197466,Alpha Innovations,Display,Women 35-44,60 days,Facebook,Miami,French,Outdoor Adventurers,2021-01-01,2021,1,Friday,14066.0,5372,196,18,0.0364854802680565,0.0918367346938775,71.76530612244898,2618.391660461653,3.98,2.98,781.4444444444445,55982.68,9
8396,NexGen Systems,Email,Men 18-24,30 days,YouTube,Los Angeles,Mandarin,Outdoor Adventurers,2021-01-01,2021,1,Friday,13279.0,6651,897,18,0.1348669373026612,0.020066889632107,14.803790412486064,1996.541873402496,7.66,6.66,737.7222222222222,101717.14,4
165711,TechCorp,Influencer,Women 25-34,60 days,Instagram,Chicago,Spanish,Foodies,2021-01-01,2021,1,Friday,15758.0,6816,760,23,0.1115023474178403,0.0302631578947368,20.73421052631579,2311.913145539906,7.76,6.76,685.1304347826087,122282.08,9
28106,TechCorp,Search,Women 35-44,45 days,Instagram,Los Angeles,German,Tech Enthusiasts,2021-01-01,2021,1,Friday,14075.0,7764,715,29,0.092091705306543,0.0405594405594405,19.685314685314687,1812.8541988665636,7.37,6.37,485.3448275862069,103732.75,7
56211,Innovate Industries,Email,Men 18-24,15 days,Email,Houston,Spanish,Foodies,2021-01-01,2021,1,Friday,17419.0,3594,685,55,0.1905954368391764,0.0802919708029197,25.42919708029197,4846.688925987757,5.05,4.05,316.7090909090909,87965.95,9
70811,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,Chicago,Mandarin,Fashionistas,2021-01-01,2021,1,Friday,5762.0,3076,312,34,0.1014304291287386,0.1089743589743589,18.46794871794872,1873.2119635890767,7.8,6.8,169.47058823529412,44943.6,7
51466,Alpha Innovations,Email,Men 25-34,15 days,YouTube,New York,English,Health & Wellness,2021-01-01,2021,1,Friday,12717.0,8785,426,51,0.0484917472965281,0.1197183098591549,29.85211267605634,1447.5811041548093,4.57,3.57,249.35294117647055,58116.69,6
141256,NexGen Systems,Display,Women 35-44,60 days,Email,Houston,German,Fashionistas,2021-01-01,2021,1,Friday,12961.0,5486,557,17,0.1015311702515494,0.0305206463195691,23.269299820466788,2362.5592417061607,7.77,6.77,762.4117647058823,100706.97,5
108041,Innovate Industries,Display,Men 18-24,45 days,Google Ads,New York,French,Fashionistas,2021-01-01,2021,1,Friday,17175.0,6696,641,64,0.0957287933094384,0.0998439937597504,26.794071762870516,2564.9641577060934,4.35,3.35,268.359375,74711.25,3
147461,Innovate Industries,Search,Men 25-34,45 days,Email,Miami,English,Fashionistas,2021-01-01,2021,1,Friday,9893.0,1618,551,11,0.3405438813349815,0.0199637023593466,17.954627949183305,6114.338689740421,3.49,2.49,899.3636363636364,34526.57,1
146367,TechCorp,Influencer,Women 25-34,45 days,Facebook,Los Angeles,English,Health & Wellness,2021-01-02,2021,1,Saturday,16728.0,2359,766,77,0.3247138618058499,0.1005221932114882,21.83812010443864,7091.140313692242,7.7,6.7,217.2467532467533,128805.6,6
122277,NexGen Systems,Email,Women 25-34,45 days,Instagram,Chicago,German,Foodies,2021-01-02,2021,1,Saturday,10018.0,1299,412,33,0.317167051578137,0.0800970873786407,24.31553398058253,7712.086220169361,6.6899999999999995,5.69,303.57575757575756,67020.42,10
42342,TechCorp,Influencer,Men 18-24,60 days,Email,Los Angeles,German,Health & Wellness,2021-01-02,2021,1,Saturday,19772.0,6747,245,20,0.0363124351563657,0.0816326530612244,80.70204081632653,2930.4876241292427,7.849999999999999,6.85,988.6,155210.19999999998,10
176297,TechCorp,Email,Men 18-24,45 days,Instagram,New York,French,Health & Wellness,2021-01-02,2021,1,Saturday,12798.0,2296,188,28,0.0818815331010452,0.1489361702127659,68.07446808510639,5574.04181184669,3.03,2.03,457.07142857142856,38777.939999999995,8
165712,DataTech Solutions,Search,All Ages,45 days,Google Ads,Chicago,Spanish,Foodies,2021-01-02,2021,1,Saturday,12441.0,6229,199,14,0.0319473430727243,0.0703517587939698,62.517587939698494,1997.2708299887624,4.83,3.83,888.6428571428571,60090.03,9
189437,Alpha Innovations,Search,Women 25-34,60 days,Website,New York,English,Tech Enthusiasts,2021-01-02,2021,1,Saturday,12158.0,4237,266,8,0.0627802690582959,0.0300751879699248,45.70676691729323,2869.4831248524897,8.969999999999999,7.97,1519.75,109057.25999999998,10
84682,DataTech Solutions,Influencer,All Ages,30 days,Google Ads,New York,English,Foodies,2021-01-02,2021,1,Saturday,17836.0,8073,550,28,0.0681283289978942,0.0509090909090909,32.42909090909091,2209.339774557166,3.92,2.92,637.0,69917.12,2
13872,TechCorp,Search,Women 35-44,15 days,Instagram,Houston,Mandarin,Foodies,2021-01-02,2021,1,Saturday,5324.0,3442,779,16,0.226321905868681,0.0205391527599486,6.834403080872914,1546.775130737943,3.61,2.61,332.75,19219.64,10
53657,DataTech Solutions,Search,Men 25-34,60 days,YouTube,Los Angeles,Mandarin,Fashionistas,2021-01-02,2021,1,Saturday,19724.0,8267,191,11,0.0231039071005201,0.0575916230366492,103.26701570680628,2385.8715374380063,6.1,5.1,1793.090909090909,120316.4,6
133227,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,Chicago,Spanish,Health & Wellness,2021-01-02,2021,1,Saturday,12634.0,8097,454,18,0.0560701494380634,0.039647577092511,27.82819383259912,1560.330986785229,3.36,2.36,701.8888888888889,42450.24,6
174837,Alpha Innovations,Email,All Ages,30 days,YouTube,Los Angeles,German,Fashionistas,2021-01-02,2021,1,Saturday,11970.0,9223,861,95,0.0933535725902634,0.1103368176538908,13.902439024390244,1297.8423506451263,6.71,5.71,126.0,80318.7,6
43802,NexGen Systems,Email,Women 35-44,45 days,Instagram,Los Angeles,French,Health & Wellness,2021-01-02,2021,1,Saturday,11799.0,5306,621,12,0.1170373162457595,0.0193236714975845,19.0,2223.7090086694307,5.02,4.02,983.25,59230.98,8
66067,Alpha Innovations,Search,Women 25-34,15 days,Facebook,Los Angeles,English,Outdoor Adventurers,2021-01-02,2021,1,Saturday,9969.0,5156,228,30,0.0442203258339798,0.131578947368421,43.723684210526315,1933.4755624515128,4.6,3.6,332.3,45857.399999999994,2
157682,TechCorp,Search,Men 18-24,30 days,YouTube,Houston,Spanish,Fashionistas,2021-01-02,2021,1,Saturday,19668.0,5610,109,10,0.0194295900178253,0.091743119266055,180.44036697247705,3505.8823529411766,5.81,4.81,1966.8,114271.08,6
87967,Innovate Industries,Display,Men 25-34,45 days,Facebook,Los Angeles,French,Health & Wellness,2021-01-02,2021,1,Saturday,9838.0,7914,595,83,0.0751832196108162,0.1394957983193277,16.534453781512607,1243.113469800354,8.719999999999999,7.72,118.53012048192772,85787.35999999999,1
57672,NexGen Systems,Search,Men 25-34,45 days,YouTube,New York,German,Fashionistas,2021-01-02,2021,1,Saturday,19235.0,5256,835,58,0.1588660578386606,0.0694610778443113,23.035928143712574,3659.627092846271,5.7,4.7,331.63793103448273,109639.5,5
52927,Innovate Industries,Display,Women 25-34,30 days,Email,Miami,Mandarin,Tech Enthusiasts,2021-01-02,2021,1,Saturday,19994.0,6181,908,73,0.1469017958259181,0.0803964757709251,22.019823788546255,3234.751658307717,8.309999999999999,7.31,273.8904109589041,166150.13999999998,1
121547,TechCorp,Influencer,Men 18-24,15 days,Instagram,Los Angeles,French,Foodies,2021-01-02,2021,1,Saturday,14319.0,9948,127,5,0.0127663852030558,0.0393700787401574,112.748031496063,1439.384800965018,8.43,7.43,2863.8,120709.17,8
141622,TechCorp,Social Media,Men 25-34,45 days,Google Ads,Chicago,English,Tech Enthusiasts,2021-01-02,2021,1,Saturday,15479.0,2645,165,7,0.0623818525519848,0.0424242424242424,93.8121212121212,5852.173913043479,5.42,4.42,2211.285714285714,83896.18,2
88332,TechCorp,Social Media,Men 25-34,15 days,Instagram,Los Angeles,Mandarin,Tech Enthusiasts,2021-01-02,2021,1,Saturday,15826.0,3450,460,60,0.1333333333333333,0.1304347826086956,34.404347826086955,4587.246376811594,7.81,6.81,263.76666666666665,123601.06,7
27743,Innovate Industries,Social Media,Men 18-24,15 days,Facebook,Miami,Mandarin,Health & Wellness,2021-01-03,2021,1,Sunday,18231.0,7429,979,59,0.1317808587966079,0.0602655771195097,18.622063329928498,2454.0314981827973,8.370000000000001,7.37,309.0,152593.47000000003,5
112423,TechCorp,Social Media,All Ages,45 days,Instagram,Miami,German,Foodies,2021-01-03,2021,1,Sunday,10532.0,6581,395,47,0.0600212733627108,0.1189873417721519,26.663291139240503,1600.3646862179,8.120000000000001,7.12,224.08510638297872,85519.84000000001,6
123008,NexGen Systems,Search,All Ages,45 days,Facebook,New York,Spanish,Fashionistas,2021-01-03,2021,1,Sunday,16740.0,3092,996,80,0.3221216041397154,0.0803212851405622,16.80722891566265,5413.971539456663,3.04,2.04,209.25,50889.6,5
141623,DataTech Solutions,Email,Men 25-34,30 days,Instagram,New York,Mandarin,Foodies,2021-01-03,2021,1,Sunday,10088.0,3892,975,88,0.250513874614594,0.0902564102564102,10.346666666666666,2591.983556012333,8.01,7.01,114.63636363636364,80804.88,2
171553,TechCorp,Email,All Ages,30 days,Google Ads,New York,German,Fashionistas,2021-01-03,2021,1,Sunday,11684.0,1680,788,47,0.469047619047619,0.0596446700507614,14.82741116751269,6954.761904761905,4.85,3.85,248.59574468085103,56667.399999999994,4
160968,Alpha Innovations,Display,Men 18-24,30 days,Email,Los Angeles,Mandarin,Health & Wellness,2021-01-03,2021,1,Sunday,10548.0,4065,835,33,0.2054120541205412,0.0395209580838323,12.632335329341318,2594.8339483394834,4.48,3.48,319.6363636363636,47255.04,2
52198,Alpha Innovations,Display,Women 25-34,45 days,YouTube,Miami,German,Fashionistas,2021-01-03,2021,1,Sunday,19512.0,2568,976,88,0.3800623052959501,0.0901639344262295,19.99180327868853,7598.130841121495,4.25,3.25,221.72727272727272,82926.0,6
71543,TechCorp,Influencer,Women 25-34,60 days,YouTube,Miami,Mandarin,Fashionistas,2021-01-03,2021,1,Sunday,16652.0,8288,363,36,0.0437982625482625,0.0991735537190082,45.8732782369146,2009.169884169884,7.36,6.36,462.55555555555554,122558.72,3
125928,NexGen Systems,Social Media,All Ages,15 days,Facebook,Chicago,English,Tech Enthusiasts,2021-01-03,2021,1,Sunday,8436.0,3716,615,55,0.1655005382131324,0.089430894308943,13.717073170731709,2270.182992465016,3.4,2.4,153.38181818181818,28682.4,9
162793,TechCorp,Email,Men 18-24,45 days,Google Ads,Miami,Spanish,Foodies,2021-01-03,2021,1,Sunday,11937.0,9521,385,31,0.0404369288940237,0.0805194805194805,31.005194805194805,1253.7548576830163,8.879999999999999,7.88,385.06451612903226,106000.55999999998,5
158413,Innovate Industries,Email,Men 25-34,30 days,Website,Los Angeles,Mandarin,Outdoor Adventurers,2021-01-03,2021,1,Sunday,6650.0,6326,500,40,0.0790388871324691,0.08,13.3,1051.21719886184,4.1899999999999995,3.19,166.25,27863.499999999996,9
165713,NexGen Systems,Display,Women 35-44,45 days,YouTube,Houston,Spanish,Health & Wellness,2021-01-03,2021,1,Sunday,11349.0,3627,812,32,0.223876481940998,0.0394088669950738,13.976600985221674,3129.032258064516,3.96,2.96,354.65625,44942.04,5
139068,TechCorp,Email,Women 25-34,60 days,Instagram,Los Angeles,German,Tech Enthusiasts,2021-01-03,2021,1,Sunday,5439.0,9427,880,26,0.0933488914819136,0.0295454545454545,6.180681818181818,576.9597963296912,7.86,6.86,209.19230769230768,42750.54,7
36868,Alpha Innovations,Email,Women 35-44,30 days,Facebook,New York,English,Foodies,2021-01-03,2021,1,Sunday,8075.0,8200,565,6,0.0689024390243902,0.0106194690265486,14.29203539823009,984.7560975609756,5.72,4.72,1345.8333333333333,46189.0,9
72273,TechCorp,Influencer,Women 25-34,60 days,Email,Los Angeles,German,Foodies,2021-01-03,2021,1,Sunday,13500.0,8825,269,8,0.0304815864022662,0.0297397769516728,50.185873605947954,1529.7450424929175,3.75,2.75,1687.5,50625.0,4
131403,TechCorp,Search,Men 18-24,45 days,Email,Chicago,German,Foodies,2021-01-03,2021,1,Sunday,13113.0,4023,491,59,0.1220482227193636,0.120162932790224,26.706720977596746,3259.5078299776287,4.49,3.49,222.2542372881356,58877.37,7
68623,NexGen Systems,Display,Women 25-34,15 days,Instagram,Chicago,German,Fashionistas,2021-01-03,2021,1,Sunday,11071.0,6692,665,27,0.0993723849372384,0.0406015037593985,16.64812030075188,1654.3634190077703,3.0,2.0,410.037037037037,33213.0,1
9493,Alpha Innovations,Social Media,Women 35-44,30 days,Facebook,Los Angeles,Spanish,Tech Enthusiasts,2021-01-03,2021,1,Sunday,6202.0,4694,935,94,0.1991904559011504,0.1005347593582887,6.633155080213903,1321.2611844908392,7.99,6.99,65.97872340425532,49553.98,8
117168,TechCorp,Email,All Ages,60 days,Instagram,Miami,Mandarin,Health & Wellness,2021-01-03,2021,1,Sunday,13644.0,2720,138,10,0.050735294117647,0.072463768115942,98.8695652173913,5016.176470588236,7.27,6.27,1364.4,99191.88,2
103299,TechCorp,Email,Men 25-34,60 days,Email,Chicago,French,Fashionistas,2021-01-04,2021,1,Monday,11314.0,3178,122,4,0.0383889238514789,0.0327868852459016,92.7377049180328,3560.100692259283,8.440000000000001,7.44,2828.5,95490.16000000002,4
3289,Alpha Innovations,Display,All Ages,15 days,YouTube,Los Angeles,German,Health & Wellness,2021-01-04,2021,1,Monday,12899.0,9885,133,9,0.0134547293879615,0.0676691729323308,96.98496240601504,1304.9064238745573,7.290000000000001,6.29,1433.2222222222222,94033.71,8
37964,DataTech Solutions,Email,All Ages,15 days,Facebook,Miami,Spanish,Fashionistas,2021-01-04,2021,1,Monday,12780.0,4127,478,19,0.1158226314514175,0.0397489539748954,26.736401673640167,3096.680397383087,7.72,6.72,672.6315789473684,98661.6,9
141624,Alpha Innovations,Social Media,Women 35-44,30 days,Facebook,Chicago,French,Outdoor Adventurers,2021-01-04,2021,1,Monday,6753.0,4862,294,12,0.0604689428218839,0.0408163265306122,22.96938775510204,1388.9345948169478,4.55,3.55,562.75,30726.15,7
129944,Innovate Industries,Email,Women 25-34,15 days,Google Ads,Los Angeles,Mandarin,Health & Wellness,2021-01-04,2021,1,Monday,7992.0,1880,758,114,0.4031914893617021,0.1503957783641161,10.54353562005277,4251.063829787234,3.49,2.49,70.10526315789474,27892.08,2
114614,DataTech Solutions,Email,Women 35-44,15 days,Website,Los Angeles,Mandarin,Tech Enthusiasts,2021-01-04,2021,1,Monday,17937.0,6916,180,4,0.0260266049739733,0.0222222222222222,99.65,2593.5511856564485,5.33,4.33,4484.25,95604.21,7
187249,DataTech Solutions,Search,Men 18-24,30 days,Google Ads,Los Angeles,French,Fashionistas,2021-01-04,2021,1,Monday,13107.0,5856,501,70,0.0855532786885246,0.1397205588822355,26.161676646706585,2238.217213114754,6.87,5.87,187.24285714285713,90045.09,2
193089,TechCorp,Search,All Ages,60 days,YouTube,New York,French,Outdoor Adventurers,2021-01-04,2021,1,Monday,11549.0,2481,246,17,0.0991535671100362,0.0691056910569105,46.947154471544714,4654.977831519549,3.44,2.44,679.3529411764706,39728.56,4
43074,TechCorp,Influencer,Men 18-24,30 days,Email,Los Angeles,French,Foodies,2021-01-04,2021,1,Monday,7410.0,7989,445,40,0.055701589685818,0.0898876404494382,16.651685393258425,927.52534735261,6.78,5.78,185.25,50239.8,1
81764,NexGen Systems,Email,Men 25-34,45 days,Google Ads,Miami,Spanish,Health & Wellness,2021-01-04,2021,1,Monday,19868.0,2085,284,26,0.1362110311750599,0.0915492957746478,69.95774647887323,9529.016786570744,7.03,6.03,764.1538461538462,139672.04,1
122279,NexGen Systems,Social Media,Men 18-24,15 days,Facebook,New York,Mandarin,Outdoor Adventurers,2021-01-04,2021,1,Monday,12689.0,2584,160,14,0.0619195046439628,0.0875,79.30625,4910.6037151702785,4.42,3.42,906.3571428571428,56085.38,8
